Timestamp,Power,Result,PatternRIS0
2025-11-19T14:51:08.258840,10.0,-74.34422492980957,11
2025-11-19T14:51:08.446631,10.0,-74.3234395980835,12
2025-11-19T14:51:08.634776,10.0,-74.24943447113037,13
2025-11-19T14:51:08.823017,10.0,-74.30514335632324,14
2025-11-19T14:51:09.011689,10.0,-74.30022716522217,15
2025-11-19T14:51:09.200211,10.0,-74.37592506408691,16
2025-11-19T14:51:09.388923,10.0,-74.22496318817139,17
2025-11-19T14:51:09.577645,10.0,-74.27917003631592,18
2025-11-19T14:51:09.765770,10.0,-74.32403564453125,19
2025-11-19T14:51:09.954178,10.0,-74.26431655883789,20
2025-11-19T14:51:10.141277,10.0,-74.3191385269165,21
2025-11-19T14:51:10.329317,10.0,-74.24300193786621,22
2025-11-19T14:51:10.517357,10.0,-74.35549736022949,23
2025-11-19T14:51:10.705089,10.0,-74.37720775604248,24
2025-11-19T14:51:10.893422,10.0,-74.2665958404541,25
2025-11-19T14:51:11.081360,10.0,-74.32286262512207,26
2025-11-19T14:51:11.269311,10.0,-74.29752349853516,27
2025-11-19T14:51:11.457361,10.0,-74.39779758453369,28
2025-11-19T14:51:11.645237,10.0,-74.2876672744751,29
2025-11-19T14:51:11.833433,10.0,-74.28006649017334,30
2025-11-19T14:51:12.021879,Noise,-74.23213005065918,0
2025-11-19T14:51:12.210635,Noise,-74.3122386932373,1
2025-11-19T14:51:12.398776,Noise,-74.29401874542236,2
2025-11-19T14:51:12.586834,Noise,-74.34347152709961,3
2025-11-19T14:51:12.775139,Noise,-74.30540084838867,4
2025-11-19T14:51:12.963627,Noise,-74.25171852111816,5
2025-11-19T14:51:13.150972,Noise,-74.22788619995117,6
2025-11-19T14:51:13.338267,Noise,-74.1929817199707,7
2025-11-19T14:51:13.525467,Noise,-74.30301189422607,8
2025-11-19T14:51:13.712936,Noise,-74.27523612976074,9
2025-11-19T14:51:13.900758,Noise,-74.29261684417725,10
2025-11-19T14:51:14.088918,Noise,-74.2586898803711,11
2025-11-19T14:51:14.277199,Noise,-74.28062438964844,12
2025-11-19T14:51:14.465161,Noise,-74.2858076095581,13
2025-11-19T14:51:14.652968,Noise,-74.23397541046143,14
2025-11-19T14:51:14.841186,Noise,-74.2274284362793,15
2025-11-19T14:51:15.028456,Noise,-74.31267738342285,16
2025-11-19T14:51:15.216470,Noise,-74.28526878356934,17
2025-11-19T14:51:15.404556,Noise,-74.30436611175537,18
2025-11-19T14:51:15.592848,Noise,-74.30190563201904,19
2025-11-19T14:51:15.781192,Noise,-74.32082653045654,20
2025-11-19T14:51:15.968496,Noise,-74.30882930755615,21
2025-11-19T14:51:16.156499,Noise,-74.30314540863037,22
2025-11-19T14:51:16.345203,Noise,-74.36612606048584,23
2025-11-19T14:51:16.532945,Noise,-74.27231788635254,24
2025-11-19T14:51:16.720591,Noise,-74.28772926330566,25
2025-11-19T14:51:16.908733,Noise,-74.25796508789062,26
2025-11-19T14:51:17.096868,Noise,-74.33614730834961,27
2025-11-19T14:51:17.284830,Noise,-74.29394721984863,28
2025-11-19T14:51:17.472744,Noise,-74.27745819091797,29
2025-11-19T14:51:17.660547,Noise,-74.31312561035156,30
2025-11-19T14:51:17.848707,-5,-74.3167495727539,0
2025-11-19T14:51:18.037184,-5,-74.28454399108887,1
2025-11-19T14:51:18.225323,-5,-74.35352802276611,2
2025-11-19T14:51:18.413397,-5,-74.27996158599854,3
2025-11-19T14:51:18.600817,-5,-74.3707799911499,4
2025-11-19T14:51:18.788365,-5,-74.29164409637451,5
2025-11-19T14:51:18.976046,-5,-74.21542167663574,6
2025-11-19T14:51:19.163789,-5,-74.3221664428711,7
2025-11-19T14:51:19.351528,-5,-74.27462100982666,8
2025-11-19T14:51:19.539215,-5,-74.28711891174316,9
2025-11-19T14:51:19.726486,-5,-74.27625179290771,10
2025-11-19T14:51:19.914281,-5,-74.33458805084229,11
2025-11-19T14:51:20.102399,-5,-74.3570327758789,12
2025-11-19T14:51:20.290417,-5,-74.24540042877197,13
2025-11-19T14:51:20.478101,-5,-74.26475524902344,14
2025-11-19T14:51:20.666308,-5,-74.36633110046387,15
2025-11-19T14:51:20.853902,-5,-74.26607131958008,16
2025-11-19T14:51:21.041362,-5,-74.36875820159912,17
2025-11-19T14:51:21.228511,-5,-74.337477684021,18
2025-11-19T14:51:21.415634,-5,-74.27708148956299,19
2025-11-19T14:51:21.603364,-5,-74.26092624664307,20
2025-11-19T14:51:21.790784,-5,-74.23633575439453,21
2025-11-19T14:51:21.977779,-5,-74.25487041473389,22
2025-11-19T14:51:22.165345,-5,-74.2582893371582,23
2025-11-19T14:51:22.353074,-5,-74.2991590499878,24
2025-11-19T14:51:22.540026,-5,-74.3198013305664,25
2025-11-19T14:51:22.727754,-5,-74.22464847564697,26
2025-11-19T14:51:22.915547,-5,-74.25651550292969,27
2025-11-19T14:51:23.102943,-5,-74.3240213394165,28
2025-11-19T14:51:23.290055,-5,-74.28866386413574,29
2025-11-19T14:51:23.477018,-5,-74.22372341156006,30
2025-11-19T14:55:27.520512,10.0,-74.25929546356201,0
2025-11-19T14:55:27.708202,10.0,-74.40842151641846,1
2025-11-19T14:55:27.897204,10.0,-74.40033435821533,2
2025-11-19T14:55:28.085716,10.0,-74.38291072845459,3
2025-11-19T14:55:28.273203,10.0,-74.36352729797363,4
