Timestamp,Power,Result,PatternRIS0,PatternRIS1
2025-05-22T10:43:22.460629,10.0,-73.19597244262695,0,0
2025-05-22T10:43:22.730200,10.0,-73.26766967773438,0,1
2025-05-22T10:43:23.001209,10.0,-73.34979057312012,0,2
2025-05-22T10:43:23.194883,10.0,-73.33640098571777,1,0
2025-05-22T10:43:23.465996,10.0,-73.41888904571533,1,1
2025-05-22T10:43:23.737029,10.0,-73.4809398651123,1,2
2025-05-22T10:43:23.930522,10.0,-73.4442949295044,2,0
2025-05-22T10:43:24.202184,10.0,-73.56285572052002,2,1
2025-05-22T10:43:24.472013,10.0,-73.38976860046387,2,2
2025-05-22T10:49:45.949639,10.0,-68.60514640808105,0,0
2025-05-22T10:49:46.221565,10.0,-68.20745944976807,0,1
2025-05-22T10:49:46.493168,10.0,-68.17938804626465,0,2
2025-05-22T10:49:46.687619,10.0,-68.33748817443848,1,0
2025-05-22T10:49:46.958565,10.0,-69.45501804351807,1,1
2025-05-22T10:49:47.231032,10.0,-71.4717149734497,1,2
2025-05-22T10:49:47.424228,10.0,-70.00138282775879,2,0
2025-05-22T10:49:47.695203,10.0,-71.06942653656006,2,1
2025-05-22T10:49:47.967093,10.0,-71.2022590637207,2,2
2025-05-22T10:49:48.161169,10.0,-70.66893577575684,0,0
2025-05-22T10:49:48.432611,10.0,-71.67987823486328,0,1
2025-05-22T10:49:48.702423,10.0,-71.61693096160889,0,2
2025-05-22T10:49:48.895437,10.0,-72.13521957397461,1,0
2025-05-22T10:49:49.167652,10.0,-72.38146781921387,1,1
2025-05-22T10:49:49.438043,10.0,-72.66369342803955,1,2
2025-05-22T10:49:49.631128,10.0,-72.41170406341553,2,0
2025-05-22T10:49:49.903341,10.0,-72.95551300048828,2,1
2025-05-22T10:49:50.174512,10.0,-73.02656173706055,2,2
2025-05-22T10:49:50.368007,10.0,-73.11794757843018,0,0
2025-05-22T10:49:50.638796,10.0,-73.289794921875,0,1
2025-05-22T10:49:50.909877,10.0,-73.32192420959473,0,2
2025-05-22T10:49:51.104157,10.0,-73.38998794555664,1,0
2025-05-22T10:49:51.375572,10.0,-73.40946197509766,1,1
2025-05-22T10:49:51.646869,10.0,-73.49921703338623,1,2
2025-05-22T10:49:51.840621,10.0,-73.52020263671875,2,0
2025-05-22T10:49:52.111449,10.0,-73.54114532470703,2,1
2025-05-22T10:49:52.382808,10.0,-73.5668134689331,2,2
2025-05-22T11:07:47.997863,10.0,-67.71153450012207,0,0
2025-05-22T11:07:48.269247,10.0,-67.2491979598999,0,1
2025-05-22T11:07:48.541197,10.0,-67.84414768218994,0,2
2025-05-22T11:07:48.734848,10.0,-68.36240768432617,1,0
